name,partNumber,price,description
Oil Filter,MGL10290,10.66,Microguard
Oil Filter,MSL10290,14.16,Microguard Select
5W30 Full Synthetic Mobile 1,1-5-30CLN,15.28,1 QUART FS Mobile 1 Advanced Clean 5W30
Coolant Universal Gallon,87221,16.86,Yellow Universal Coolant
BG Coolant Kit,BGCOOLANT,51.26,BG Coolant Kit
DOT 3 Brake Fluid,72120,9.86,O'Reilly Dot 3 Brake Fluid 1 qt
DOT 4 Brake Fluid,22078,21.48,Liqui Moly 33.8 Ounce Dot 4 Brake Fluid
Brake Pad (Acura Integra 05-09),DL15345,44.59,
Brake Rotor,DL54123,104.59,
Spark Plug Bosch EVO,8508,15.11,Spark plug
Intake Gasket,1262R1,32.51,Fel-Pro HP Intake Manifold Gasket Kit
BG Frigifresh,BGFRID,24.95,BG Frigi-Fresh hospital grade disinfectanct aerosol.
Cabin Air Filter,4062HP,39.19,Cabin Air filter
Engine Air Filter,MGA10414,31.17,MicroGuard Panel Air Filter
Air Filter,MSA71063,36.63,MicroGuard Select Panel Air Filter
BG Transmission Service Kit,BGTRANS,45.31,BG Transmission Kit w/ flush and conditioner
